id,Ciudad,Latitud,Logitud,GPS,Importancia,Ventas,Estado
469,MEDELLIN,6.244635155,-75.58950246,6.24463515507;-75.5895024589,3,419499,ABIERTO
470,MEDELLIN,6.231080055,-75.57289124,6.23108005524;-75.5728912354,3,189756,ABIERTO
471,MEDELLIN,6.260794163,-75.60511017,6.26079416275;-75.6051101685,2,171136,ABIERTO
472,MEDELLIN,6.254149286,-75.6103709,6.25414928599;-75.6103709041,3,259464,ABIERTO
473,MEDELLIN,6.278032191,-75.57773333,6.27803219071789;-75.5777333323541,5,278204,ABIERTO
474,MEDELLIN,6.274419785,-75.55288696,6.27441978455;-75.5528869629,2,260839,ABIERTO
475,MEDELLIN,6.247739792,-75.57376099,6.24773979187;-75.5737609863,4,332278,ABIERTO
476,MEDELLIN,6.2905597,-75.5787635,6.2905597;-75.5787635,3,226084,CERRADO
477,MEDELLIN,6.247332097,-75.56564799,6.247332097;-75.56564799,4,378914,CERRADO
478,MEDELLIN,6.242770672,-75.62176514,6.24277067184;-75.6217651367,2,229644,CERRADO
479,MEDELLIN,6.254861047,-75.56236499,6.2548610470795;-75.5623649862147,1,409710,CERRADO
480,MEDELLIN,6.254698753,-75.56606293,6.25469875336;-75.5660629272,4,187974,CERRADO
481,MEDELLIN,6.282491911,-75.62400414,6.282491910644871;-75.62400414380242,5,391194,CERRADO
482,MEDELLIN,6.2488227,-75.5432785,6.2488227;-75.5432785,5,350767,CERRADO
483,MEDELLIN,6.24874372,-75.56627137,6.24874371954121;-75.5662713716238,3,231758,CERRADO
484,MEDELLIN,6.248760223,-75.55760956,6.24876022339;-75.5576095581,3,389363,ABIERTO
485,MEDELLIN,6.296308823,-75.57004981,6.29630882319878;-75.5700498144381,3,282861,ABIERTO
486,MEDELLIN,6.247829698,-75.5845501,6.24782969831867;-75.5845500982701,5,180034,ABIERTO
487,MEDELLIN,6.254258927,-75.56834768,6.25425892654;-75.5683476809,5,316692,ABIERTO
488,MEDELLIN,6.247866415,-75.57051897,6.2478664151;-75.5705189681,5,320010,ABIERTO
489,MEDELLIN,6.288529873,-75.54554749,6.28852987289;-75.5455474854,2,314888,ABIERTO
490,MEDELLIN,6.247454643,-75.5674057,6.24745464325;-75.5674057007,1,280966,ABIERTO
